date,sentiment
2008-12-22,-0.308236
2008-12-23,-0.08899599999999999
2008-12-24,-0.110384
2008-12-25,-0.073292
2008-12-26,-0.205348
2008-12-27,-0.215436
2008-12-28,-0.23884799999999998
2008-12-29,-0.15908
2008-12-30,-0.20331599999999997
2008-12-31,-0.19352799999999998
2009-01-01,-0.151888
2009-01-02,-0.20855600000000002
2009-01-03,-0.16872800000000002
2009-01-04,-0.257504
2009-01-05,-0.295028
2009-01-06,-0.157892
2009-01-07,-0.316712
2009-01-08,-0.358608
2009-01-09,-0.2869
2009-01-10,-0.212672
2009-01-11,-0.19525199999999998
2009-01-12,-0.23771599999999998
2009-01-13,-0.266252
2009-01-14,-0.270124
2009-01-15,-0.129944
2009-01-16,-0.35970799999999997
2009-01-17,-0.347476
2009-01-18,-0.106156
2009-01-19,-0.26157199999999997
2009-01-20,-0.36580399999999996
2009-01-21,-0.18386400000000003
2009-01-22,-0.155804
2009-01-23,-0.240384
2009-01-24,-0.10633200000000001
2009-01-25,-0.18911999999999998
2009-01-26,-0.27155999999999997
2009-01-27,-0.28633600000000003
2009-01-28,-0.20825599999999997
2009-01-29,-0.149564
2009-01-30,-0.12922
2009-01-31,-0.303456
2009-02-01,-0.162284
2009-02-02,-0.09332000000000001
2009-02-03,-0.13672
2009-02-04,-0.247856
2009-02-05,-0.07335599999999999
2009-02-06,-0.198488
2009-02-07,-0.220444
2009-02-08,-0.230864
2009-02-09,-0.3404
2009-02-10,-0.26094
2009-02-11,-0.22342800000000002
2009-02-12,-0.213644
2009-02-13,-0.183296
2009-02-14,-0.18026399999999998
2009-02-15,0.005720000000000003
2009-02-16,-0.40897599999999995
2009-02-17,-0.322396
2009-02-18,-0.144168
2009-02-19,-0.148992
2009-02-20,-0.23210799999999998
2009-02-21,-0.174316
2009-02-22,-0.20519600000000002
2009-02-23,-0.19520400000000002
2009-02-24,-0.15852
2009-02-25,-0.27233599999999997
2009-02-26,-0.191632
2009-02-27,-0.212972
2009-02-28,-0.271364
2009-03-01,-0.201952
2009-03-02,-0.207668
2009-03-03,-0.243072
2009-03-04,-0.392064
2009-03-05,-0.23576
2009-03-06,-0.21498
2009-03-07,-0.20106000000000002
2009-03-08,-0.280192
2009-03-09,-0.147672
2009-03-10,-0.17714400000000002
2009-03-11,-0.400724
2009-03-12,-0.250756
2009-03-13,-0.102316
2009-03-14,-0.21834399999999998
2009-03-15,-0.104992
2009-03-16,-0.22007199999999996
2009-03-17,-0.370616
2009-03-18,-0.327672
2009-03-19,-0.24702
2009-03-20,-0.35244
2009-03-21,-0.23578400000000002
2009-03-22,-0.295512
2009-03-23,-0.21928799999999998
2009-03-24,-0.330128
2009-03-25,-0.279208
2009-03-26,-0.309648
2009-03-27,-0.212404
2009-03-28,-0.24098
2009-03-30,-0.217264
2009-03-31,-0.20076
2009-04-01,-0.1152
2009-04-02,-0.251776
2009-04-03,-0.143048
2009-04-04,-0.26533999999999996
2009-04-05,-0.209492
2009-04-06,-0.232132
2009-04-07,-0.285024
2009-04-08,-0.099176
2009-04-09,-0.28542
2009-04-10,-0.24036000000000002
2009-04-11,-0.30875199999999997
2009-04-12,-0.14288800000000001
2009-04-13,-0.215032
2009-04-14,-0.2425
2009-04-15,-0.214932
2009-04-16,-0.254268
2009-04-17,-0.23500800000000002
2009-04-18,-0.185976
2009-04-19,-0.101164
2009-04-20,-0.20922000000000002
2009-04-21,-0.13855599999999998
2009-04-22,-0.15181999999999998
2009-04-23,-0.125308
2009-04-24,-0.17418
2009-04-25,-0.225852
2009-04-26,-0.209224
2009-04-27,-0.12983599999999998
2009-04-28,-0.24904
2009-04-29,-0.07959999999999999
2009-04-30,-0.3023
2009-05-01,-0.224804
2009-05-02,-0.212624
2009-05-03,-0.184292
2009-05-04,-0.196276
2009-05-05,-0.314132
2009-05-06,-0.22962400000000002
2009-05-07,-0.14178000000000002
2009-05-08,-0.209932
2009-05-09,-0.163836
2009-05-10,-0.238264
2009-05-11,-0.201596
2009-05-12,-0.158584
2009-05-13,-0.144572
2009-05-14,-0.325228
2009-05-15,-0.052140000000000006
2009-05-16,-0.290008
2009-05-17,-0.02436
2009-05-18,-0.21758
2009-05-19,-0.163692
2009-05-20,-0.406652
2009-05-21,-0.278124
2009-05-22,-0.25868
2009-05-23,-0.23761600000000002
2009-05-24,-0.220168
2009-05-25,-0.24771200000000002
2009-05-26,-0.10900800000000001
2009-05-27,-0.108892
2009-05-28,-0.18806
2009-05-29,-0.19996
2009-05-30,-0.16722
2009-05-31,-0.245124
2009-06-01,-0.16752
2009-06-02,-0.091272
2009-06-03,-0.126216
2009-06-04,-0.068528
2009-06-05,-0.016844
2009-06-06,-0.24012799999999998
2009-06-07,-0.218448
2009-06-08,-0.198796
2009-06-09,-0.363392
2009-06-10,-0.176372
2009-06-11,-0.121344
2009-06-12,-0.150144
2009-06-13,-0.23926000000000003
2009-06-14,-0.230824
2009-06-15,-0.281736
2009-06-16,-0.21048000000000003
2009-06-17,-0.181996
2009-06-18,-0.19994
2009-06-19,-0.22408
2009-06-20,-0.13108
2009-06-21,-0.269044
2009-06-22,0.031100000000000003
2009-06-23,-0.303796
2009-06-24,-0.289392
2009-06-25,-0.06360400000000001
2009-06-26,-0.275308
2009-06-27,-0.231208
2009-06-28,-0.25047200000000003
2009-06-29,-0.25729599999999997
2009-06-30,-0.10240800000000001
2009-07-01,-0.134388
2009-07-02,-0.13131199999999998
2009-07-03,-0.224572
2009-07-04,-0.10616400000000001
2009-07-05,-0.160276
2009-07-06,-0.394604
2009-07-07,-0.336004
2009-07-08,-0.24698
2009-07-09,-0.292668
2009-07-10,-0.354848
2009-07-11,-0.121728
2009-07-12,-0.102616
2009-07-13,-0.233016
2009-07-14,-0.36476
2009-07-15,-0.409928
2009-07-16,-0.209464
2009-07-17,-0.28118000000000004
2009-07-18,-0.22822800000000001
2009-07-19,-0.18488800000000002
